IDP;Model;Capacity;Color;Grade;Last purchase price in USD;Floor Price 
19354;iPhone 4;16;White;Grade A;;8.85 
19358;iPhone 4;8;Black;Grade A;;8.85 
19350;iPhone 4;16;Black;Grade A;;8.85 
13454;iPhone 6;16;Grey;Grade C;$102.94;99.95 
74972;iPhone 6;32;Grey;Grade C;$107.84;104.28 
15958;iPhone 6;64;Grey;Grade C;$117.65;112.96 
15053;iPhone 6;128;Grey;Grade C;$127.45;121.64 
13455;iPhone 6;16;Silver;Grade C;$102.94;99.95 
15956;iPhone 6;64;Silver;Grade C;$117.65;112.96 
15047;iPhone 6;128;Silver;Grade C;$127.45;121.64 
29527;iPhone 6;16;Gold;Grade C;$102.94;99.95 
74995;iPhone 6;32;Gold;Grade C;$107.84;104.28 
15962;iPhone 6;64;Gold;Grade C;$117.65;112.96 
15057;iPhone 6;128;Gold;Grade C;$127.45;121.64 
68703;iPhone 6;16;Grey;Grade D;$102.94;99.95 
74982;iPhone 6;32;Grey;Grade D;$107.84;104.28 
19519;iPhone 6;64;Grey;Grade D;$117.65;112.96 
19495;iPhone 6;128;Grey;Grade D;$127.45;121.64 
19515;iPhone 6;16;Silver;Grade D;$102.94;99.95 
19527;iPhone 6;64;Silver;Grade D;$117.65;112.96 
19503;iPhone 6;128;Silver;Grade D;$127.45;121.64 
19510;iPhone 6;16;Gold;Grade D;$102.94;99.95 
74996;iPhone 6;32;Gold;Grade D;$107.84;104.28 
19523;iPhone 6;64;Gold;Grade D;$117.65;112.96 
19499;iPhone 6;128;Gold;Grade D;$127.45;121.64 
58245;iPhone 6;16;Grey;Grade B;$117.65;112.96 
74970;iPhone 6;32;Grey;Grade B;$122.55;117.30 
19518;iPhone 6;64;Grey;Grade B;$132.35;125.97 
37377;iPhone 6;128;Grey;Grade B;$148.80;140.53 
19512;iPhone 6;16;Silver;Grade B;$117.65;112.96 
19526;iPhone 6;64;Silver;Grade B;$132.35;125.97 
19502;iPhone 6;128;Silver;Grade B;$142.16;134.65 
13466;iPhone 6;16;Gold;Grade B;$117.65;112.96 
74994;iPhone 6;32;Gold;Grade B;$129.60;123.54 
19521;iPhone 6;64;Gold;Grade B;$132.35;125.97 
19498;iPhone 6;128;Gold;Grade B;$142.16;134.65 
19276;iPhone 6;16;Grey;Grade A;$132.30;125.93 
17536;iPhone 6;32;Grey;Grade A;$144.00;136.28 
19517;iPhone 6;64;Grey;Grade A;$147.06;138.99 
19493;iPhone 6;128;Grey;Grade A;$156.80;147.61 
37363;iPhone 6;16;Silver;Grade A;$124.80;119.29 
19525;iPhone 6;64;Silver;Grade A;$147.06;138.99 
19501;iPhone 6;128;Silver;Grade A;$156.80;147.61 
19508;iPhone 6;16;Gold;Grade A;$124.80;119.29 
74993;iPhone 6;32;Gold;Grade A;$144.00;136.28 
52063;iPhone 6;64;Gold;Grade A;$148.80;140.53 
19497;iPhone 6;128;Gold;Grade A;$148.80;140.53 
6988;iPhone 5;16;White;Grade C;$44.12;47.89 
27941;iPhone 5;32;White;Grade C;$49.02;52.23 
34827;iPhone 5;64;White;Grade C;$53.92;56.57 
6987;iPhone 5;16;Black;Grade C;$44.12;47.89 
16059;iPhone 5;32;Black;Grade C;$49.02;52.23 
35566;iPhone 5;64;Black;Grade C;$53.92;56.57 
30011;iPhone 5;16;White;Grade D;$44.12;47.89 
19392;iPhone 5;32;White;Grade D;$49.02;52.23 
38298;iPhone 5;64;White;Grade D;$52.80;55.58 
19380;iPhone 5;16;Black;Grade D;$44.12;47.89 
19388;iPhone 5;32;Black;Grade D;$49.02;52.23 
46011;iPhone 5;64;Black;Grade D;$53.92;56.57 
19383;iPhone 5;16;White;Grade B;$49.02;52.23 
16058;iPhone 5;32;White;Grade B;$53.92;56.57 
38297;iPhone 5;64;White;Grade B;$58.82;60.90 
19379;iPhone 5;16;Black;Grade B;$49.02;52.23 
19387;iPhone 5;32;Black;Grade B;$53.92;56.57 
46008;iPhone 5;64;Black;Grade B;$57.60;59.82 
19382;iPhone 5;16;White;Grade A;$53.92;56.57 
19390;iPhone 5;32;White;Grade A;$57.60;59.82 
51582;iPhone 5;64;White;Grade A;;8.85 
19633;iPhone 5;16;Black;Grade A;$86.00;84.96 
19386;iPhone 5;32;Black;Grade A;$95.00;92.92 
51581;iPhone 5;64;Black;Grade A;;8.85 
16658;iPhone 5C;8;White;Grade C;$39.22;43.56 
13429;iPhone 5C;16;White;Grade C;$49.02;52.23 
16053;iPhone 5C;32;White;Grade C;$49.02;52.23 
16654;iPhone 5C;8;Blue;Grade C;$39.22;43.56 
13416;iPhone 5C;16;Blue;Grade C;$49.02;52.23 
16052;iPhone 5C;32;Blue;Grade C;$49.02;52.23 
17844;iPhone 5C;8;Green;Grade C;$39.22;43.56 
13413;iPhone 5C;16;Green;Grade C;$49.02;52.23 
16055;iPhone 5C;32;Green;Grade C;$49.02;52.23 
16656;iPhone 5C;8;Yellow;Grade C;$39.22;43.56 
13405;iPhone 5C;16;Yellow;Grade C;$49.02;52.23 
16054;iPhone 5C;32;Yellow;Grade C;$49.02;52.23 
28674;iPhone 5C;8;Pink;Grade C;$39.22;43.56 
13391;iPhone 5C;16;Pink;Grade C;$49.02;52.23 
16056;iPhone 5C;32;Pink;Grade C;$49.02;52.23 
19436;iPhone 5C;8;White;Grade D;$39.22;43.56 
53140;iPhone 5C;16;White;Grade D;$49.02;52.23 
19416;iPhone 5C;32;White;Grade D;$49.02;52.23 
19440;iPhone 5C;8;Blue;Grade D;$39.22;43.56 
30506;iPhone 5C;16;Blue;Grade D;$49.02;52.23 
30514;iPhone 5C;32;Blue;Grade D;$49.02;52.23 
19454;iPhone 5C;8;Green;Grade D;$39.22;43.56 
30511;iPhone 5C;16;Green;Grade D;$49.02;52.23 
19432;iPhone 5C;32;Green;Grade D;$49.02;52.23 
19445;iPhone 5C;8;Yellow;Grade D;$39.22;43.56 
19404;iPhone 5C;16;Yellow;Grade D;$49.02;52.23 
19424;iPhone 5C;32;Yellow;Grade D;$49.02;52.23 
19449;iPhone 5C;8;Pink;Grade D;$39.22;43.56 
30510;iPhone 5C;16;Pink;Grade D;$49.02;52.23 
30515;iPhone 5C;32;Pink;Grade D;$49.02;52.23 
19435;iPhone 5C;8;White;Grade B;$43.20;47.08 
19395;iPhone 5C;16;White;Grade B;$52.80;55.58 
19415;iPhone 5C;32;White;Grade B;$49.02;52.23 
19439;iPhone 5C;8;Blue;Grade B;$39.22;43.56 
19399;iPhone 5C;16;Blue;Grade B;$52.80;55.58 
19419;iPhone 5C;32;Blue;Grade B;$49.02;52.23 
16657;iPhone 5C;8;Green;Grade B;$39.22;43.56 
19411;iPhone 5C;16;Green;Grade B;$52.80;55.58 
19430;iPhone 5C;32;Green;Grade B;$49.02;52.23 
19444;iPhone 5C;8;Yellow;Grade B;$43.20;47.08 
19403;iPhone 5C;16;Yellow;Grade B;$52.80;55.58 
19423;iPhone 5C;32;Yellow;Grade B;$64.32;65.77 
16655;iPhone 5C;8;Pink;Grade B;$43.20;47.08 
29528;iPhone 5C;16;Pink;Grade B;$52.80;55.58 
19427;iPhone 5C;32;Pink;Grade B;$49.02;52.23 
19434;iPhone 5C;8;White;Grade A;$85.00;84.07 
19394;iPhone 5C;16;White;Grade A;$124.80;119.29 
19414;iPhone 5C;32;White;Grade A;$96.00;93.81 
19438;iPhone 5C;8;Blue;Grade A;$85.00;84.07 
19655;iPhone 5C;16;Blue;Grade A;$86.00;84.96 
19418;iPhone 5C;32;Blue;Grade A;$96.00;93.81 
24563;iPhone 5C;8;Green;Grade A;$85.00;84.07 
21021;iPhone 5C;16;Green;Grade A;$90.00;88.50 
24242;iPhone 5C;32;Green;Grade A;$100.00;97.35 
19442;iPhone 5C;8;Yellow;Grade A;$85.00;84.07 
19402;iPhone 5C;16;Yellow;Grade A;$90.00;88.50 
19422;iPhone 5C;32;Yellow;Grade A;$96.00;93.81 
19447;iPhone 5C;8;Pink;Grade A;$85.00;84.07 
19664;iPhone 5C;16;Pink;Grade A;$90.00;88.50 
19426;iPhone 5C;32;Pink;Grade A;$96.00;93.81 
9661;iPhone 5S;16;Grey;Grade C;$53.92;56.57 
15945;iPhone 5S;32;Grey;Grade C;$58.82;60.90 
16273;iPhone 5S;64;Grey;Grade C;$63.73;65.25 
