IDP;Model;Capacity;Color;Grade;Last purchase price in USD;Floor Price 
72626;iPhone 7 Plus;256;Black;Grade C;$452.16;408.99 
54717;iPhone 7 Plus;32;Pink;Grade C;$408.00;369.91 
54727;iPhone 7 Plus;128;Pink;Grade C;$441.60;399.65 
54746;iPhone 7 Plus;256;Pink;Grade C;$484.80;437.88 
54748;iPhone 7 Plus;32;Silver;Grade C;$369.60;335.93 
54742;iPhone 7 Plus;128;Silver;Grade C;$422.40;382.65 
54745;iPhone 7 Plus;256;Silver;Grade C;$436.80;395.40 
54725;iPhone 7 Plus;32;Jet Black;Grade C;$360.00;327.43 
54720;iPhone 7 Plus;128;Jet Black;Grade C;$422.40;382.65 
54760;iPhone 7 Plus;256;Jet Black;Grade C;$436.80;395.40 
54736;iPhone 7 Plus;32;Gold;Grade C;$365.76;332.53 
54732;iPhone 7 Plus;128;Gold;Grade C;$428.16;387.75 
54753;iPhone 7 Plus;256;Gold;Grade C;$452.16;408.99 
72629;iPhone 7 Plus;32;Black;Grade D;$365.76;332.53 
72631;iPhone 7 Plus;128;Black;Grade D;$423.36;383.50 
72632;iPhone 7 Plus;256;Black;Grade D;$452.16;408.99 
54718;iPhone 7 Plus;32;Pink;Grade D;$408.00;369.91 
54728;iPhone 7 Plus;128;Pink;Grade D;$441.60;399.65 
54750;iPhone 7 Plus;256;Pink;Grade D;$484.80;437.88 
54749;iPhone 7 Plus;32;Silver;Grade D;$369.60;335.93 
54743;iPhone 7 Plus;128;Silver;Grade D;$422.40;382.65 
54757;iPhone 7 Plus;256;Silver;Grade D;$436.80;395.40 
54729;iPhone 7 Plus;32;Jet Black;Grade D;$360.00;327.43 
54721;iPhone 7 Plus;128;Jet Black;Grade D;$422.40;382.65 
54761;iPhone 7 Plus;256;Jet Black;Grade D;$436.80;395.40 
54739;iPhone 7 Plus;32;Gold;Grade D;$365.76;332.53 
54733;iPhone 7 Plus;128;Gold;Grade D;$428.16;387.75 
54754;iPhone 7 Plus;256;Gold;Grade D;$452.16;408.99 
72625;iPhone 7 Plus;32;Black;Grade B;$378.28;343.61 
72621;iPhone 7 Plus;128;Black;Grade B;$442.56;400.50 
72627;iPhone 7 Plus;256;Black;Grade B;$452.16;408.99 
54715;iPhone 7 Plus;32;Pink;Grade B;$379.20;344.42 
54726;iPhone 7 Plus;128;Pink;Grade B;$441.60;399.65 
54741;iPhone 7 Plus;256;Pink;Grade B;$456.00;412.39 
54747;iPhone 7 Plus;32;Silver;Grade B;$379.20;344.42 
54740;iPhone 7 Plus;128;Silver;Grade B;$441.60;399.65 
54756;iPhone 7 Plus;256;Silver;Grade B;$456.00;412.39 
54724;iPhone 7 Plus;32;Jet Black;Grade B;$360.00;327.43 
54719;iPhone 7 Plus;128;Jet Black;Grade B;$422.40;382.65 
54759;iPhone 7 Plus;256;Jet Black;Grade B;$436.80;395.40 
54735;iPhone 7 Plus;32;Gold;Grade B;$384.96;349.52 
54731;iPhone 7 Plus;128;Gold;Grade B;$447.36;404.74 
54752;iPhone 7 Plus;256;Gold;Grade B;$452.16;408.99 
72623;iPhone 7 Plus;32;Black;Grade A;$413.76;375.01 
72622;iPhone 7 Plus;128;Black;Grade A;$471.36;425.98 
72620;iPhone 7 Plus;256;Black;Grade A;;8.85 
61796;iPhone 7 Plus;32;Pink;Grade A;$401.80;364.42 
61792;iPhone 7 Plus;128;Pink;Grade A;$465.60;420.88 
61802;iPhone 7 Plus;256;Pink;Grade A;$484.80;437.88 
61804;iPhone 7 Plus;32;Silver;Grade A;$417.60;378.41 
61790;iPhone 7 Plus;128;Silver;Grade A;$465.60;420.88 
61799;iPhone 7 Plus;256;Silver;Grade A;$480.39;433.97 
61797;iPhone 7 Plus;32;Jet Black;Grade A;;8.85 
61776;iPhone 7 Plus;128;Jet Black;Grade A;$465.60;420.88 
61788;iPhone 7 Plus;256;Jet Black;Grade A;;8.85 
61803;iPhone 7 Plus;32;Gold;Grade A;$413.76;375.01 
61791;iPhone 7 Plus;128;Gold;Grade A;$471.38;426.00 
61800;iPhone 7 Plus;256;Gold;Grade A;$500.16;451.47 
71867;iPhone 7;32;Black;Grade C;$260.16;239.08 
71872;iPhone 7;128;Black;Grade C;$303.36;277.31 
71877;iPhone 7;256;Black;Grade C;$341.76;311.29 
54671;iPhone 7;32;Pink;Grade C;$254.40;233.98 
54678;iPhone 7;128;Pink;Grade C;$297.60;272.21 
54689;iPhone 7;256;Pink;Grade C;$336.00;306.19 
54686;iPhone 7;32;Silver;Grade C;$240.20;221.42 
54709;iPhone 7;128;Silver;Grade C;$297.60;272.21 
54701;iPhone 7;256;Silver;Grade C;$336.00;306.19 
54694;iPhone 7;32;Jet Black;Grade C;$240.20;221.42 
54672;iPhone 7;128;Jet Black;Grade C;$303.36;277.31 
54712;iPhone 7;256;Jet Black;Grade C;$336.00;306.19 
54681;iPhone 7;32;Gold;Grade C;$240.20;221.42 
54704;iPhone 7;128;Gold;Grade C;$303.36;277.31 
54697;iPhone 7;256;Gold;Grade C;$341.76;311.29 
71868;iPhone 7;32;Black;Grade D;$260.16;239.08 
71873;iPhone 7;128;Black;Grade D;$303.36;277.31 
71878;iPhone 7;256;Black;Grade D;$341.76;311.29 
54673;iPhone 7;32;Pink;Grade D;$254.40;233.98 
54680;iPhone 7;128;Pink;Grade D;$297.60;272.21 
54691;iPhone 7;256;Pink;Grade D;$336.00;306.19 
54688;iPhone 7;32;Silver;Grade D;$240.20;221.42 
54710;iPhone 7;128;Silver;Grade D;$297.60;272.21 
54702;iPhone 7;256;Silver;Grade D;$336.00;306.19 
54695;iPhone 7;32;Jet Black;Grade D;$240.20;221.42 
54674;iPhone 7;128;Jet Black;Grade D;$303.36;277.31 
54713;iPhone 7;256;Jet Black;Grade D;$336.00;306.19 
54682;iPhone 7;32;Gold;Grade D;$240.20;221.42 
54705;iPhone 7;128;Gold;Grade D;$303.36;277.31 
54698;iPhone 7;256;Gold;Grade D;$341.76;311.29 
71866;iPhone 7;32;Black;Grade B;$279.36;256.07 
71871;iPhone 7;128;Black;Grade B;$322.56;294.30 
71876;iPhone 7;256;Black;Grade B;$341.76;311.29 
54669;iPhone 7;32;Pink;Grade B;$273.60;250.97 
54677;iPhone 7;128;Pink;Grade B;$316.80;289.20 
54687;iPhone 7;256;Pink;Grade B;$355.20;323.19 
54685;iPhone 7;32;Silver;Grade B;$273.60;250.97 
54708;iPhone 7;128;Silver;Grade B;$331.20;301.95 
54700;iPhone 7;256;Silver;Grade B;$336.00;306.19 
54692;iPhone 7;32;Jet Black;Grade B;$240.20;221.42 
54670;iPhone 7;128;Jet Black;Grade B;$313.60;286.37 
54711;iPhone 7;256;Jet Black;Grade B;$355.20;323.19 
54679;iPhone 7;32;Gold;Grade B;$279.36;256.07 
54703;iPhone 7;128;Gold;Grade B;$322.56;294.30 
54696;iPhone 7;256;Gold;Grade B;$360.96;328.28 
71865;iPhone 7;32;Black;Grade A;$308.16;281.56 
71870;iPhone 7;128;Black;Grade A;$351.36;319.79 
71875;iPhone 7;256;Black;Grade A;$389.76;353.77 
61772;iPhone 7;32;Pink;Grade A;$289.10;264.69 
61754;iPhone 7;128;Pink;Grade A;$345.60;314.69 
39345;iPhone 7;256;Pink;Grade A;$384.00;348.67 
61774;iPhone 7;32;Silver;Grade A;$302.40;276.46 
61756;iPhone 7;128;Silver;Grade A;$345.60;314.69 
61763;iPhone 7;256;Silver;Grade A;$384.00;348.67 
61766;iPhone 7;32;Jet Black;Grade A;$408.00;369.91 
61753;iPhone 7;128;Jet Black;Grade A;$345.60;314.69 
61762;iPhone 7;256;Jet Black;Grade A;$384.00;348.67 
61773;iPhone 7;32;Gold;Grade A;$308.16;281.56 
61755;iPhone 7;128;Gold;Grade A;$351.36;319.79 
61764;iPhone 7;256;Gold;Grade A;$389.76;353.77 
31094;Galaxy S4;16;White;Grade C;$80.50;80.09 
31099;Galaxy S4;16;Black;Grade C;$81.08;80.60 
39057;Galaxy S4;16;Blue;Grade C;;8.85 
38937;Galaxy S4;16;Pink;Grade C;;8.85 
31095;Galaxy S4;16;White;Grade D;$80.50;80.09 
31100;Galaxy S4;16;Black;Grade D;$81.08;80.60 
39058;Galaxy S4;16;Blue;Grade D;;8.85 
38951;Galaxy S4;16;Pink;Grade D;;8.85 
30078;Galaxy S4;16;White;Grade B;$80.50;80.09 
30056;Galaxy S4;16;Black;Grade B;$81.08;80.60 
39056;Galaxy S4;16;Blue;Grade B;;8.85 
38947;Galaxy S4;16;Pink;Grade B;;8.85 
31096;Galaxy S4;16;White;Grade A;;8.85 
31043;Galaxy S4;16;Black;Grade A;;8.85 
51878;Galaxy S4;16;Blue;Grade A;;8.85 
62264;Galaxy S4;16;Pink;Grade A;;8.85 
30100;Galaxy S4 Mini;8;White;Grade C;;8.85 
62270;Galaxy S4 Mini;8;Black;Grade C;;8.85 
62274;Galaxy S4 Mini;8;White;Grade D;;8.85 
62271;Galaxy S4 Mini;8;Black;Grade D;;8.85 
62273;Galaxy S4 Mini;8;White;Grade B;;8.85 
30097;Galaxy S4 Mini;8;Black;Grade B;;8.85 
51880;Galaxy S4 Mini;8;White;Grade A;;8.85 
51879;Galaxy S4 Mini;8;Black;Grade A;;8.85 
32644;Galaxy S5 G900;16;White;Grade C;$90.00;88.50 
35792;Galaxy S5 G900;16;Black;Grade C;$90.00;88.50 
64552;Galaxy S5 G900;16;Blue;Grade C;$90.00;88.50 
30741;Galaxy S5 G900;16;Gold;Grade C;$90.00;88.50 
32646;Galaxy S5 G900;16;White;Grade D;$90.00;88.50 
35793;Galaxy S5 G900;16;Black;Grade D;$90.00;88.50 
64553;Galaxy S5 G900;16;Blue;Grade D;$90.00;88.50 
35791;Galaxy S5 G900;16;Gold;Grade D;$90.00;88.50 
30010;Galaxy S5 G900;16;White;Grade B;$90.00;88.50 
30021;Galaxy S5 G900;16;Black;Grade B;$90.00;88.50 
64547;Galaxy S5 G900;16;Blue;Grade B;$90.00;88.50 
35708;Galaxy S5 G900;16;Gold;Grade B;$90.00;88.50 
7184;Galaxy S5 G900;16;White;Grade A;;8.85 
7183;Galaxy S5 G900;16;Black;Grade A;;8.85 
64545;Galaxy S5 G900;16;Blue;Grade A;;8.85 
36678;Galaxy S5 G900;16;Gold;Grade A;;8.85 
72985;Galaxy S5 Mini;16;White;Grade C;$72.00;72.57 
72975;Galaxy S5 Mini;16;Black;Grade C;$72.00;72.57 
72980;Galaxy S5 Mini;16;Blue;Grade C;;8.85 
72990;Galaxy S5 Mini;16;Gold;Grade C;$72.00;72.57 
72986;Galaxy S5 Mini;16;White;Grade D;$72.00;72.57 
72976;Galaxy S5 Mini;16;Black;Grade D;$72.00;72.57 
72981;Galaxy S5 Mini;16;Blue;Grade D;;8.85 
72991;Galaxy S5 Mini;16;Gold;Grade D;$72.00;72.57 
72984;Galaxy S5 Mini;16;White;Grade B;$72.00;72.57 
72974;Galaxy S5 Mini;16;Black;Grade B;$72.00;72.57 
72979;Galaxy S5 Mini;16;Blue;Grade B;;8.85 
72989;Galaxy S5 Mini;16;Gold;Grade B;$72.00;72.57 
72983;Galaxy S5 Mini;16;White;Grade A;;8.85 
72973;Galaxy S5 Mini;16;Black;Grade A;;8.85 
72978;Galaxy S5 Mini;16;Blue;Grade A;;8.85 
72988;Galaxy S5 Mini;16;Gold;Grade A;;8.85 
31511;Galaxy S6 G920;32;White;Grade C;$91.20;89.56 
32103;Galaxy S6 G920;32;Black;Grade C;$91.20;89.56 
32102;Galaxy S6 G920;32;Blue;Grade C;$76.80;76.81 
31508;Galaxy S6 G920;32;Black;Grade D;$91.20;89.56 
62361;Galaxy S6 G920;32;Blue;Grade D;$76.80;76.81 
31494;Galaxy S6 G920;32;White;Grade B;$91.20;89.56 
31493;Galaxy S6 G920;32;Black;Grade B;$91.20;89.56 
62277;Galaxy S6 G920;32;Blue;Grade B;$76.80;76.81 
34550;Galaxy S6 G920;32;White;Grade A;;8.85 
34552;Galaxy S6 G920;32;Black;Grade A;;8.85 
34551;Galaxy S6 G920;32;Blue;Grade A;;8.85 
64588;Galaxy S6 Edge G925;32;Gold;Grade C;$110.40;106.55 
64592;Galaxy S6 Edge G925;32;Gold;Grade D;$110.40;106.55 
64586;Galaxy S6 Edge G925;32;Gold;Grade B;$110.40;106.55 
64585;Galaxy S6 Edge G925;32;Gold;Grade A;;8.85 
62364;Galaxy S6 Edge Plus G928;32;White;Grade C;;8.85 
54290;Galaxy S6 Edge Plus G928;32;Black;Grade C;$124.80;119.29 
71424;Galaxy S6 Edge Plus G928;32;Silver;Grade C;$235.00;216.81 
54292;Galaxy S6 Edge Plus G928;32;Gold;Grade C;$124.80;119.29 
62368;Galaxy S6 Edge Plus G928;32;White;Grade D;;8.85 
54293;Galaxy S6 Edge Plus G928;32;Black;Grade D;$124.80;119.29 
71425;Galaxy S6 Edge Plus G928;32;Silver;Grade D;$235.00;216.81 
54289;Galaxy S6 Edge Plus G928;32;Gold;Grade D;$124.80;119.29 
31498;Galaxy S6 Edge Plus G928;32;White;Grade B;;8.85 
31497;Galaxy S6 Edge Plus G928;32;Black;Grade B;$124.80;119.29 
71423;Galaxy S6 Edge Plus G928;32;Silver;Grade B;$235.00;216.81 
54291;Galaxy S6 Edge Plus G928;32;Gold;Grade B;$124.80;119.29 
62373;Galaxy S6 Edge Plus G928;32;White;Grade A;;8.85 
47581;Galaxy S6 Edge Plus G928;32;Black;Grade A;;8.85 
71422;Galaxy S6 Edge Plus G928;32;Silver;Grade A;;8.85 
62352;Galaxy S6 Edge Plus G928;32;Gold;Grade A;;8.85 
65396;Galaxy S7 G930;32;White;Grade C;$195.00;181.42 
65473;Galaxy S7 G930;32;Black;Grade C;$149.02;140.73 
65479;Galaxy S7 G930;32;Pink;Grade C;$149.02;140.73 
74786;Galaxy S7 G930;32;Silver;Grade C;$155.52;146.48 
65466;Galaxy S7 G930;32;Gold;Grade C;$149.02;140.73 
65399;Galaxy S7 G930;32;White;Grade D;$195.00;181.42 
65474;Galaxy S7 G930;32;Black;Grade D;$149.02;140.73 
65480;Galaxy S7 G930;32;Pink;Grade D;$149.02;140.73 
74787;Galaxy S7 G930;32;Silver;Grade D;$155.52;146.48 
65467;Galaxy S7 G930;32;Gold;Grade D;$149.02;140.73 
65392;Galaxy S7 G930;32;White;Grade B;$195.00;181.42 
65470;Galaxy S7 G930;32;Black;Grade B;$172.80;161.77 
65478;Galaxy S7 G930;32;Pink;Grade B;$149.02;140.73 
74784;Galaxy S7 G930;32;Silver;Grade B;$172.80;161.77 
65465;Galaxy S7 G930;32;Gold;Grade B;$172.80;161.77 
65385;Galaxy S7 G930;32;White;Grade A;;8.85 
65468;Galaxy S7 G930;32;Black;Grade A;$185.28;172.81 
65475;Galaxy S7 G930;32;Pink;Grade A;;8.85 
74785;Galaxy S7 G930;32;Silver;Grade A;$165.12;154.97 
65438;Galaxy S7 G930;32;Gold;Grade A;$145.92;137.98 
65368;Galaxy S7 Edge G935;32;White;Grade C;$215.00;199.12 
65380;Galaxy S7 Edge G935;32;Black;Grade C;$158.82;149.40 
65407;Galaxy S7 Edge G935;32;Pink;Grade C;$165.12;154.97 
65463;Galaxy S7 Edge G935;32;Silver;Grade C;$158.82;149.40 
65394;Galaxy S7 Edge G935;32;Gold;Grade C;$165.12;154.97 
65369;Galaxy S7 Edge G935;32;White;Grade D;$215.00;199.12 
65382;Galaxy S7 Edge G935;32;Black;Grade D;$158.82;149.40 
65408;Galaxy S7 Edge G935;32;Pink;Grade D;$165.12;154.97 
65464;Galaxy S7 Edge G935;32;Silver;Grade D;$158.82;149.40 
65397;Galaxy S7 Edge G935;32;Gold;Grade D;$165.12;154.97 
65367;Galaxy S7 Edge G935;32;White;Grade B;$215.00;199.12 
65378;Galaxy S7 Edge G935;32;Black;Grade B;$182.40;170.27 
65406;Galaxy S7 Edge G935;32;Pink;Grade B;$182.40;170.27 
65462;Galaxy S7 Edge G935;32;Silver;Grade B;$182.40;170.27 
65390;Galaxy S7 Edge G935;32;Gold;Grade B;$182.40;170.27 
65362;Galaxy S7 Edge G935;32;White;Grade A;;8.85 
65364;Galaxy S7 Edge G935;32;Black;Grade A;$194.88;181.31 
65401;Galaxy S7 Edge G935;32;Pink;Grade A;$194.88;181.31 
65452;Galaxy S7 Edge G935;32;Silver;Grade A;$194.88;181.31 
65384;Galaxy S7 Edge G935;32;Gold;Grade A;$194.88;181.31 
76465;iPad mini Wifi;64;White;Grade C;$105.60;102.30 
76470;iPad mini Wifi;16;Black;Grade C;$62.40;64.07 
76468;iPad mini Wifi;32;Black;Grade C;$58.82;60.90 
76466;iPad mini Wifi;64;Black;Grade C;$105.60;102.30 
76469;iPad mini Cellular;16;Silver;Grade C;$70.00;70.80 
76467;iPad mini Wifi;32;Silver;Grade C;$67.20;68.32 
77321;iPad mini Wifi;64;White;Grade D;$105.60;102.30 
77296;iPad mini Wifi;16;Black;Grade D;$62.40;64.07 
77306;iPad mini Wifi;32;Black;Grade D;$58.82;60.90 
77316;iPad mini Wifi;64;Black;Grade D;$105.60;102.30 
77301;iPad mini Wifi;16;Silver;Grade D;$62.40;64.07 
77311;iPad mini Wifi;32;Silver;Grade D;$67.20;68.32 
77320;iPad mini Wifi;64;White;Grade B;$105.60;102.30 
77295;iPad mini Wifi;16;Black;Grade B;$62.40;64.07 
77305;iPad mini Wifi;32;Black;Grade B;$58.82;60.90 
77315;iPad mini Wifi;64;Black;Grade B;$105.60;102.30 
77300;iPad mini Wifi;16;Silver;Grade B;$62.40;64.07 
77310;iPad mini Wifi;32;Silver;Grade B;$67.20;68.32 
77319;iPad mini Wifi;64;White;Grade A;;8.85 
77294;iPad mini Wifi;16;Black;Grade A;;8.85 
77304;iPad mini Wifi;32;Black;Grade A;;8.85 
77299;iPad mini Wifi;16;Silver;Grade A;;8.85 
77309;iPad mini Wifi;32;Silver;Grade A;;8.85 
77314;iPad mini Wifi;64;Black;Grade A;;8.85 
76464;iPad mini 2 Wifi;32;Silver;Grade C;$112.75;108.63 
76463;iPad mini 2 Wifi;32;Black;Grade C;$120.00;115.04 
77331;iPad mini 2 Wifi;32;Silver;Grade D;$112.75;108.63 
77326;iPad mini 2 Wifi;32;Black;Grade D;$120.00;115.04 
77330;iPad mini 2 Wifi;32;Silver;Grade B;$112.75;108.63 
77325;iPad mini 2 Wifi;32;Black;Grade B;$120.00;115.04 
77329;iPad mini 2 Wifi;32;Silver;Grade A;;8.85 
77324;iPad mini 2 Wifi;32;Black;Grade A;;8.85 
76893;iPad Air Wifi;16;Black;Grade C;$100.80;98.05 
76891;iPad Air Wifi;32;Black;Grade C;$115.20;110.80 
76895;iPad Air Wifi;64;Black;Grade C;$186.24;173.66 
76897;iPad Air Wifi;128;Black;Grade C;$192.00;178.76 
76894;iPad Air Wifi;16;Silver;Grade C;$100.80;98.05 
76892;iPad Air Wifi;32;Silver;Grade C;$102.94;99.95 
76896;iPad Air Wifi;64;Silver;Grade C;$186.24;173.66 
76898;iPad Air Wifi;128;Silver;Grade C;$192.00;178.76 
77211;iPad Air Wifi;16;Black;Grade D;$100.80;98.05 
77221;iPad Air Wifi;32;Black;Grade D;$115.20;110.80 
77231;iPad Air Wifi;64;Black;Grade D;$186.24;173.66 
77241;iPad Air Wifi;128;Black;Grade D;$192.00;178.76 
77216;iPad Air Wifi;16;Silver;Grade D;$100.80;98.05 
77226;iPad Air Wifi;32;Silver;Grade D;$102.94;99.95 
77236;iPad Air Wifi;64;Silver;Grade D;$186.24;173.66 
77246;iPad Air Wifi;128;Silver;Grade D;$192.00;178.76 
77210;iPad Air Wifi;16;Black;Grade B;$100.80;98.05 
77220;iPad Air Wifi;32;Black;Grade B;$115.20;110.80 
77230;iPad Air Wifi;64;Black;Grade B;$186.24;173.66 
77240;iPad Air Wifi;128;Black;Grade B;$192.00;178.76 
77215;iPad Air Wifi;16;Silver;Grade B;$100.80;98.05 
77225;iPad Air Wifi;32;Silver;Grade B;$102.94;99.95 
77235;iPad Air Wifi;64;Silver;Grade B;$186.24;173.66 
77245;iPad Air Wifi;128;Silver;Grade B;$192.00;178.76 
77413;iPad Air Wifi;16;Black;Grade A;;8.85 
77219;iPad Air Wifi;32;Black;Grade A;;8.85 
77229;iPad Air Wifi;64;Black;Grade A;;8.85 
77239;iPad Air Wifi;128;Black;Grade A;;8.85 
77214;iPad Air Wifi;16;Silver;Grade A;;8.85 
77224;iPad Air Wifi;32;Silver;Grade A;;8.85 
77234;iPad Air Wifi;64;Silver;Grade A;;8.85 
77244;iPad Air Wifi;128;Silver;Grade A;;8.85 
76899;iPad Air 2 Wifi;16;Black;Grade C;$153.60;144.78 
76902;iPad Air 2 Wifi;64;Black;Grade C;$201.60;187.26 
76905;iPad Air 2 Wifi;128;Black;Grade C;$240.00;221.24 
76900;iPad Air 2 Wifi;16;Silver;Grade C;$153.60;144.78 
76903;iPad Air 2 Wifi;64;Silver;Grade C;$201.60;187.26 
76906;iPad Air 2 Wifi;128;Silver;Grade C;$240.00;221.24 
76901;iPad Air 2 Wifi;16;Gold;Grade C;$153.60;144.78 
76904;iPad Air 2 Wifi;64;Gold;Grade C;$201.60;187.26 
76907;iPad Air 2 Wifi;128;Gold;Grade C;$240.00;221.24 
77251;iPad Air 2 Wifi;16;Black;Grade D;$153.60;144.78 
77266;iPad Air 2 Wifi;64;Black;Grade D;$201.60;187.26 
77281;iPad Air 2 Wifi;128;Black;Grade D;$240.00;221.24 
77256;iPad Air 2 Wifi;16;Silver;Grade D;$153.60;144.78 
77271;iPad Air 2 Wifi;64;Silver;Grade D;$201.60;187.26 
77286;iPad Air 2 Wifi;128;Silver;Grade D;$240.00;221.24 
77261;iPad Air 2 Wifi;16;Gold;Grade D;$153.60;144.78 
77276;iPad Air 2 Wifi;64;Gold;Grade D;$201.60;187.26 
77291;iPad Air 2 Wifi;128;Gold;Grade D;$240.00;221.24 
77250;iPad Air 2 Wifi;16;Black;Grade B;$153.60;144.78 
77265;iPad Air 2 Wifi;64;Black;Grade B;$201.60;187.26 
77280;iPad Air 2 Wifi;128;Black;Grade B;$240.00;221.24 
77255;iPad Air 2 Wifi;16;Silver;Grade B;$153.60;144.78 
77270;iPad Air 2 Wifi;64;Silver;Grade B;$201.60;187.26 
77285;iPad Air 2 Wifi;128;Silver;Grade B;$240.00;221.24 
77260;iPad Air 2 Wifi;16;Gold;Grade B;$153.60;144.78 
77275;iPad Air 2 Wifi;64;Gold;Grade B;$201.60;187.26 
77290;iPad Air 2 Wifi;128;Gold;Grade B;$240.00;221.24 
77249;iPad Air 2 Wifi;16;Black;Grade A;;8.85 
77264;iPad Air 2 Wifi;64;Black;Grade A;;8.85 
77279;iPad Air 2 Wifi;128;Black;Grade A;;8.85 
77254;iPad Air 2 Wifi;16;Silver;Grade A;;8.85 
77269;iPad Air 2 Wifi;64;Silver;Grade A;;8.85 
77284;iPad Air 2 Wifi;128;Silver;Grade A;;8.85 
77259;iPad Air 2 Wifi;16;Gold;Grade A;;8.85 
77274;iPad Air 2 Wifi;64;Gold;Grade A;;8.85 
77289;iPad Air 2 Wifi;128;Gold;Grade A;;8.85 
76554;iPad 4 WIFI;16;Black;Grade C;$91.20;89.56 
76556;iPad 4 WIFI;32;Black;Grade C;$103.68;100.60 
76558;iPad 4 WIFI;64;Black;Grade C;$124.80;119.29 
76555;iPad 4 WIFI;16;Silver;Grade C;$91.20;89.56 
76557;iPad 4 WIFI;32;Silver;Grade C;$103.68;100.60 
76559;iPad 4 WIFI;64;Silver;Grade C;$124.80;119.29 
77180;iPad 4 WIFI;16;Black;Grade D;$91.20;89.56 
77190;iPad 4 WIFI;32;Black;Grade D;$103.68;100.60 
77201;iPad 4 WIFI;64;Black;Grade D;$124.80;119.29 
77185;iPad 4 WIFI;16;Silver;Grade D;$91.20;89.56 
77195;iPad 4 WIFI;32;Silver;Grade D;$103.68;100.60 
77206;iPad 4 WIFI;64;Silver;Grade D;$124.80;119.29 
77179;iPad 4 WIFI;16;Black;Grade B;$91.20;89.56 
77189;iPad 4 WIFI;32;Black;Grade B;$103.68;100.60 
77199;iPad 4 WIFI;64;Black;Grade B;$124.80;119.29 
77184;iPad 4 WIFI;16;Silver;Grade B;$91.20;89.56 
77194;iPad 4 WIFI;32;Silver;Grade B;$103.68;100.60 
77205;iPad 4 WIFI;64;Silver;Grade B;$124.80;119.29 
77178;iPad 4 WIFI;16;Black;Grade A;;8.85 
77188;iPad 4 WIFI;32;Black;Grade A;;8.85 
77198;iPad 4 WIFI;64;Black;Grade A;;8.85 
77183;iPad 4 WIFI;16;Silver;Grade A;;8.85 
77193;iPad 4 WIFI;32;Silver;Grade A;;8.85 
77204;iPad 4 WIFI;64;Silver;Grade A;;8.85 
76546;iPad 3 WIFI;16;Black;Grade C;$67.20;68.32 
76549;iPad 3 WIFI;32;Black;Grade C;$68.63;69.58 
76551;iPad 3 WIFI;64;Black;Grade C;$94.08;92.11 
76547;iPad 3 WIFI;16;Silver;Grade C;$82.00;81.42 
76550;iPad 3 WIFI;32;Silver;Grade C;$76.80;76.81 
76552;iPad 3 WIFI;64;Silver;Grade C;$94.08;92.11 
77150;iPad 3 WIFI;16;Black;Grade D;$67.20;68.32 
77160;iPad 3 WIFI;32;Black;Grade D;$68.63;69.58 
77170;iPad 3 WIFI;64;Black;Grade D;$94.08;92.11 
77155;iPad 3 WIFI;16;Silver;Grade D;$82.00;81.42 
77165;iPad 3 WIFI;32;Silver;Grade D;$76.80;76.81 
77175;iPad 3 WIFI;64;Silver;Grade D;$94.08;92.11 
77149;iPad 3 WIFI;16;Black;Grade B;$67.20;68.32 
77159;iPad 3 WIFI;32;Black;Grade B;$68.63;69.58 
77169;iPad 3 WIFI;64;Black;Grade B;$94.08;92.11 
77154;iPad 3 WIFI;16;Silver;Grade B;$82.00;81.42 
77164;iPad 3 WIFI;32;Silver;Grade B;$76.80;76.81 
77174;iPad 3 WIFI;64;Silver;Grade B;$94.08;92.11 
77148;iPad 3 WIFI;16;Black;Grade A;;8.85 
77158;iPad 3 WIFI;32;Black;Grade A;;8.85 
77168;iPad 3 WIFI;64;Black;Grade A;;8.85 
77153;iPad 3 WIFI;16;Silver;Grade A;;8.85 
77163;iPad 3 WIFI;32;Silver;Grade A;;8.85 
77173;iPad 3 WIFI;64;Silver;Grade A;;8.85 
76454;iPad 2 WIFI;16;Black;Grade C;$39.22;43.56 
76456;iPad 2 WIFI;32;Black;Grade C;$57.60;59.82 
76462;iPad 2 WIFI;64;Black;Grade C;$56.86;59.17 
76457;iPad 2 WIFI;16;Silver;Grade C;$48.00;51.33 
76459;iPad 2 WIFI;32;Silver;Grade C;$57.60;59.82 
76461;iPad 2 WIFI;64;Silver;Grade C;$65.25;66.59 
76827;iPad 2 WIFI;16;Black;Grade D;$39.22;43.56 
77130;iPad 2 WIFI;32;Black;Grade D;$57.60;59.82 
77140;iPad 2 WIFI;64;Black;Grade D;$56.86;59.17 
77125;iPad 2 WIFI;16;Silver;Grade D;$48.00;51.33 
77135;iPad 2 WIFI;32;Silver;Grade D;$57.60;59.82 
77145;iPad 2 WIFI;64;Silver;Grade D;$65.25;66.59 
76826;iPad 2 WIFI;16;Black;Grade B;$78.43;78.26 
77129;iPad 2 WIFI;32;Black;Grade B;$57.60;59.82 
77139;iPad 2 WIFI;64;Black;Grade B;$56.86;59.17 
77124;iPad 2 WIFI;16;Silver;Grade B;$48.00;51.33 
77134;iPad 2 WIFI;32;Silver;Grade B;$57.60;59.82 
77144;iPad 2 WIFI;64;Silver;Grade B;$65.25;66.59 
76825;iPad 2 WIFI;16;Black;Grade A;;8.85 
77128;iPad 2 WIFI;32;Black;Grade A;;8.85 
77138;iPad 2 WIFI;64;Black;Grade A;;8.85 
77123;iPad 2 WIFI;16;Silver;Grade A;;8.85 
