"id";"Name";"Description";"Position";"Displayed";
"3";"Refurbished";"";"0";"1";
"4";"Unused";"";"1";"1";
"5";"Accessories";"";"2";"1";
"6";"Packaging";"";"3";"1";
"7";"Refurbished smartphone";"";"4";"1";
"10";"Refurbished tablet";"";"5";"1";
"12";"Discount";"Shop all our range of refurbished products. ✓ Free delivery ✓ 6 month warranty ✓ 30-days returnWe have developed our own application that tests 28 key features of each products. To guarantee you a completely secure purchase, all our products have a 6 months warranty. However, because it is refurbished, your product is unique! And as your satisfaction is our priority we would like to inform you that if it does not meet 100% of your expectations you have the possibility to replace it free of charge within 30 days.";"6";"1";
